Record,Date,UTC Time,Temperatura WEW 1, Temperatura WEW 2, Temperatura WEW 3, Temperatura WEW 4, Temperatura WEW 5, Temperatura WEW 6, Temperatura WEW 7, Temperatura WEW 8, Temperatura OUT
    261001, 6/08/2022, 2:05:00,   1.950000E+01,   1.790000E+01,   1.890000E+01,   2.010000E+01,   1.930000E+01,   1.970000E+01,   1.790000E+01,   2.030000E+01,   1.580000E+01
    261002, 6/08/2022, 2:10:00,   1.910000E+01,   1.720000E+01,   1.830000E+01,   1.950000E+01,   1.890000E+01,   1.920000E+01,   1.720000E+01,   1.960000E+01,   1.580000E+01
    261003, 6/08/2022, 2:15:00,   1.870000E+01,   1.690000E+01,   1.800000E+01,   1.910000E+01,   1.870000E+01,   1.880000E+01,   1.680000E+01,   1.920000E+01,   1.580000E+01
    261004, 6/08/2022, 2:20:00,   1.860000E+01,   1.680000E+01,   1.770000E+01,   1.900000E+01,   1.850000E+01,   1.860000E+01,   1.660000E+01,   1.910000E+01,   1.570000E+01
    261005, 6/08/2022, 2:25:00,   1.840000E+01,   1.690000E+01,   1.750000E+01,   1.870000E+01,   1.840000E+01,   1.830000E+01,   1.630000E+01,   1.890000E+01,   1.570000E+01
    261006, 6/08/2022, 2:30:00,   1.820000E+01,   1.650000E+01,   1.730000E+01,   1.850000E+01,   1.830000E+01,   1.820000E+01,   1.620000E+01,   1.850000E+01,   1.570000E+01
    261007, 6/08/2022, 2:35:00,   1.800000E+01,   1.630000E+01,   1.720000E+01,   1.840000E+01,   1.800000E+01,   1.810000E+01,   1.600000E+01,   1.840000E+01,   1.570000E+01
    261008, 6/08/2022, 2:40:00,   1.790000E+01,   1.610000E+01,   1.700000E+01,   1.830000E+01,   1.780000E+01,   1.790000E+01,   1.590000E+01,   1.840000E+01,   1.570000E+01
    261009, 6/08/2022, 2:45:00,   1.790000E+01,   1.620000E+01,   1.700000E+01,   1.820000E+01,   1.770000E+01,   1.780000E+01,   1.570000E+01,   1.830000E+01,   1.570000E+01
    261010, 6/08/2022, 2:50:00,   1.770000E+01,   1.610000E+01,   1.690000E+01,   1.820000E+01,   1.760000E+01,   1.760000E+01,   1.570000E+01,   1.830000E+01,   1.570000E+01
    261011, 6/08/2022, 2:55:00,   1.780000E+01,   1.610000E+01,   1.690000E+01,   1.820000E+01,   1.770000E+01,   1.770000E+01,   1.560000E+01,   1.820000E+01,   1.580000E+01
    261012, 6/08/2022, 3:00:00,   1.770000E+01,   1.610000E+01,   1.690000E+01,   1.810000E+01,   1.770000E+01,   1.760000E+01,   1.560000E+01,   1.810000E+01,   1.570000E+01
    261013, 6/08/2022, 3:05:00,   1.780000E+01,   1.620000E+01,   1.690000E+01,   1.820000E+01,   1.770000E+01,   1.780000E+01,   1.560000E+01,   1.830000E+01,   1.580000E+01
    261014, 6/08/2022, 3:10:00,   1.780000E+01,   1.620000E+01,   1.700000E+01,   1.820000E+01,   1.770000E+01,   1.780000E+01,   1.570000E+01,   1.830000E+01,   1.580000E+01
    261015, 6/08/2022, 3:15:00,   1.780000E+01,   1.620000E+01,   1.700000E+01,   1.830000E+01,   1.770000E+01,   1.780000E+01,   1.570000E+01,   1.820000E+01,   1.580000E+01
    261016, 6/08/2022, 3:20:00,   1.780000E+01,   1.620000E+01,   1.710000E+01,   1.840000E+01,   1.780000E+01,   1.790000E+01,   1.580000E+01,   1.840000E+01,   1.590000E+01
    261017, 6/08/2022, 3:25:00,   1.800000E+01,   1.660000E+01,   1.730000E+01,   1.860000E+01,   1.790000E+01,   1.800000E+01,   1.600000E+01,   1.860000E+01,   1.580000E+01
    261018, 6/08/2022, 3:30:00,   1.820000E+01,   1.660000E+01,   1.740000E+01,   1.870000E+01,   1.810000E+01,   1.820000E+01,   1.620000E+01,   1.870000E+01,   1.580000E+01
    261019, 6/08/2022, 3:35:00,   1.850000E+01,   1.680000E+01,   1.770000E+01,   1.910000E+01,   1.840000E+01,   1.840000E+01,   1.650000E+01,   1.900000E+01,   1.580000E+01
